StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,UserLanguage,consent,age,resident,attention,treatment_First Click,treatment_Last Click,treatment_Page Submit,treatment_Click Count,control_First Click,control_Last Click,control_Page Submit,control_Click Count,trait_proportion_1_1,trait_proportion_1_2,trait_proportion_1_3,trait_proportion_2_1,trait_proportion_2_2,trait_proportion_2_3,trait_proportion_3_1,trait_proportion_3_2,trait_proportion_3_3,trait_proportion_4_1,trait_proportion_4_2,trait_proportion_4_3,trait_proportion_5_1,trait_proportion_5_2,trait_proportion_5_3,partyfeel_1,partyfeel_2,partyfeel_3,ideofeel_1,ideofeel_2,ideofeel_3,social_dist_1,social_dist_2,social_dist_3,social_dist_4,moral_dist_1,moral_dist_2,moral_dist_3,moral_dist_4,moral_dist_5,dehumize_rep_1,dehumize_rep_2,dehumize_rep_3,dehumize_rep_4,dehumize_rep_5,dehumize_rep_6,dehumize_rep_7,dehumize_rep_8,dehumize_rep_9,dehumize_rep_10,dehumize_rep_11,dehumize_rep_12,dehumize_rep_13,dehumize_rep_14,dehumanize_dem_1,dehumanize_dem_2,dehumanize_dem_3,dehumanize_dem_4,dehumanize_dem_5,dehumanize_dem_6,dehumanize_dem_7,dehumanize_dem_8,dehumanize_dem_9,dehumanize_dem_10,dehumanize_dem_11,dehumanize_dem_12,dehumanize_dem_13,dehumanize_dem_14,comp1,comp2_2,comp2_3,seek_out,ideo_diverse,d_person_1,d_person_2,d_person_3,gender,gender_99_TEXT,income,ses,educ,relig,race,race_6_TEXT,employ,science_trust,interest,know1,know2,ideo,pid,rep1,dem1,ind1,pid_import_d,pid_import_r,pid_import_i,pid_term_d,pid_term_r,pid_term_i,pid_we_d,pid_we_r,pid_we_i,pid_concept_d,pid_concept_r,pid_concept_i
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,User Language,"SURVEY INFORMATION     The study is being conducted by Professor Alex Severson, a faculty member in the School of Public Service at Boise State University. The purpose of this study is strictly for research purposes. The researcher is not affiliated in any way with any organization other than Boise State University. The purpose of this study is to study public opinion and attitudes. During the study, you will answer some survey questions and read texts.      This survey should take you approximately 20 minutes to complete. By completing this survey, you will earn $0.50 USD. You must be at least 18 years to participate in this survey. Some questions on this survey may cause emotional distress. You are free to skip any of these questions if answering them makes you uncomfortable. Additionally, for this research project, we are requesting demographic information. The researchers will make every effort to protect your confidentiality. However, if you are uncomfortable answering any of these questions, you may leave them blank. You may discontinue the study at any time. Your responses are completely anonymous and cannot be linked to you in any way.      CONTACTS FOR QUESTIONS OR PROBLEMS      Contact Information: If you should have any questions about this research study, please contact Professor Alex Severson at (850) 510 – 4023 or alexseverson@boisestate.edu. For additional information about your rights as a research participant in this study, please feel free to contact the Boise State University Institutional Review Board Office. You may reach the board office between 8:00 AM and 5:00 PM, Monday through Friday, by calling (208) 426-5401 or by writing: Institutional Review Board, Office of Research Compliance, Boise State University, 1910 University Dr., Boise, ID 83725-1138.",What is your age in years?,Are you a resident of the United States?,"According to the article you just read, which of the following can predict one's political beliefs?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"For each of the following traits, please indicate the extent to which you think the trait is determined by genetic and biological factors, environmental factors, and personal choice. The total for each row should add up to 100%. - Political Ideology - Genetic and Biological Factors (%)","For each of the following traits, please indicate the extent to which you think the trait is determined by genetic and biological factors, environmental factors, and personal choice. The total for each row should add up to 100%. - Political Ideology - Environmental Factors (%)","For each of the following traits, please indicate the extent to which you think the trait is determined by genetic and biological factors, environmental factors, and personal choice. The total for each row should add up to 100%. - Political Ideology - Personal Choice (%)","For each of the following traits, please indicate the extent to which you think the trait is determined by genetic and biological factors, environmental factors, and personal choice. The total for each row should add up to 100%. - Height - Genetic and Biological Factors (%)","For each of the following traits, please indicate the extent to which you think the trait is determined by genetic and biological factors, environmental factors, and personal choice. The total for each row should add up to 100%. - Height - Environmental Factors (%)","For each of the following traits, please indicate the extent to which you think the trait is determined by genetic and biological factors, environmental factors, and personal choice. The total for each row should add up to 100%. - Height - Personal Choice (%)","For each of the following traits, please indicate the extent to which you think the trait is determined by genetic and biological factors, environmental factors, and personal choice. The total for each row should add up to 100%. - Party Affiliation - Genetic and Biological Factors (%)","For each of the following traits, please indicate the extent to which you think the trait is determined by genetic and biological factors, environmental factors, and personal choice. The total for each row should add up to 100%. - Party Affiliation - Environmental Factors (%)","For each of the following traits, please indicate the extent to which you think the trait is determined by genetic and biological factors, environmental factors, and personal choice. The total for each row should add up to 100%. - Party Affiliation - Personal Choice (%)","For each of the following traits, please indicate the extent to which you think the trait is determined by genetic and biological factors, environmental factors, and personal choice. The total for each row should add up to 100%. - Intelligence - Genetic and Biological Factors (%)","For each of the following traits, please indicate the extent to which you think the trait is determined by genetic and biological factors, environmental factors, and personal choice. The total for each row should add up to 100%. - Intelligence - Environmental Factors (%)","For each of the following traits, please indicate the extent to which you think the trait is determined by genetic and biological factors, environmental factors, and personal choice. The total for each row should add up to 100%. - Intelligence - Personal Choice (%)","For each of the following traits, please indicate the extent to which you think the trait is determined by genetic and biological factors, environmental factors, and personal choice. The total for each row should add up to 100%. - Criminality - Genetic and Biological Factors (%)","For each of the following traits, please indicate the extent to which you think the trait is determined by genetic and biological factors, environmental factors, and personal choice. The total for each row should add up to 100%. - Criminality - Environmental Factors (%)","For each of the following traits, please indicate the extent to which you think the trait is determined by genetic and biological factors, environmental factors, and personal choice. The total for each row should add up to 100%. - Criminality - Personal Choice (%)",partyfeel - Republicans,partyfeel - Democrats,partyfeel - Independents,ideofeel - Liberals,ideofeel - Conservatives,ideofeel - Moderates,How do you think you would react if a member of your immediate family told you they were going to marry: - A Democrat,How do you think you would react if a member of your immediate family told you they were going to marry: - A Republican,How do you think you would react if a member of your immediate family told you they were going to marry: - A Conservative,How do you think you would react if a member of your immediate family told you they were going to marry: - A Liberal,How different would you say Democrats are from Republicans when considering the following traits: - Morality,How different would you say Democrats are from Republicans when considering the following traits: - Honesty,How different would you say Democrats are from Republicans when considering the following traits: - Trustworthiness,How different would you say Democrats are from Republicans when considering the following traits: - Sincerity,How different would you say Democrats are from Republicans when considering the following traits: - Policy Positions,Below you will see a number of different traits. How well do you think the following traits describe the typical Republican? - Humble,Below you will see a number of different traits. How well do you think the following traits describe the typical Republican? - Polite,Below you will see a number of different traits. How well do you think the following traits describe the typical Republican? - Organized,Below you will see a number of different traits. How well do you think the following traits describe the typical Republican? - Stingy,Below you will see a number of different traits. How well do you think the following traits describe the typical Republican? - Impersonal,Below you will see a number of different traits. How well do you think the following traits describe the typical Republican? - Shallow,Below you will see a number of different traits. How well do you think the following traits describe the typical Republican? - Fun-Loving,Below you will see a number of different traits. How well do you think the following traits describe the typical Republican? - Curious,Below you will see a number of different traits. How well do you think the following traits describe the typical Republican? - Trusting,Below you will see a number of different traits. How well do you think the following traits describe the typical Republican? - Jealous,Below you will see a number of different traits. How well do you think the following traits describe the typical Republican? - Impatient,Below you will see a number of different traits. How well do you think the following traits describe the typical Republican? - Aggressive,Below you will see a number of different traits. How well do you think the following traits describe the typical Republican? - Open-Minded,Below you will see a number of different traits. How well do you think the following traits describe the typical Republican? - Persuadable,Below you will see a number of different traits. How well do you think the following traits describe the typical Democrat? - Humble,Below you will see a number of different traits. How well do you think the following traits describe the typical Democrat? - Polite,Below you will see a number of different traits. How well do you think the following traits describe the typical Democrat? - Organized,Below you will see a number of different traits. How well do you think the following traits describe the typical Democrat? - Stingy,Below you will see a number of different traits. How well do you think the following traits describe the typical Democrat? - Impersonal,Below you will see a number of different traits. How well do you think the following traits describe the typical Democrat? - Shallow,Below you will see a number of different traits. How well do you think the following traits describe the typical Democrat? - Fun-Loving,Below you will see a number of different traits. How well do you think the following traits describe the typical Democrat? - Curious,Below you will see a number of different traits. How well do you think the following traits describe the typical Democrat? - Trusting,Below you will see a number of different traits. How well do you think the following traits describe the typical Democrat? - Jealous,Below you will see a number of different traits. How well do you think the following traits describe the typical Democrat? - Impatient,Below you will see a number of different traits. How well do you think the following traits describe the typical Democrat? - Aggressive,Below you will see a number of different traits. How well do you think the following traits describe the typical Democrat? - Open-Minded,Below you will see a number of different traits. How well do you think the following traits describe the typical Democrat? - Persuadable,Which statement comes closer to your view even if neither is exactly right? I like elected officials who:,"Think about how Republican and Democratic leaders in Congress should address the most important issues facing the country. Imagine a scale from zero to 100 where 100 means Democratic leaders get everything they want and Republican leaders get nothing they want, and zero means Republican leaders gets everything they want and Democratic leaders get nothing they want. Where on this scale from zero to 100 do you think they should end up? - Republican Leaders","Think about how Republican and Democratic leaders in Congress should address the most important issues facing the country. Imagine a scale from zero to 100 where 100 means Democratic leaders get everything they want and Republican leaders get nothing they want, and zero means Republican leaders gets everything they want and Democratic leaders get nothing they want. Where on this scale from zero to 100 do you think they should end up? - Democratic Leaders",How important is it to you to seek out a variety of perspectives when thinking about political issues?,How important is it to you to seek out ideologically-diverse discussion partners?,Please indicate how much you agree or disagree with each of the following statements. - The kind of person someone is something very basic about them and it can't be changed very much.,"Please indicate how much you agree or disagree with each of the following statements. - People can do things differently, but the important parts of who they are can't really be changed.",Please indicate how much you agree or disagree with each of the following statements. - Everyone is a certain kind of person and there is not much that can be done to really change that.,Which gender do you identify with? - Selected Choice,Which gender do you identify with? - Not listed (please write in) - Text,What is your annual household income?,What is your current socioeconomic status?,What is the highest level of education you have received?,How important is religion in your life?,What racial or ethnic group best describes you? - Selected Choice,What racial or ethnic group best describes you? - Other [specify] - Text,Are you currently employed?,How much would you say you trust scientists?,How interested are you in information about what’s going on in government and politics?,For how many years is a United States Senator elected?,On which of the following does the U.S. federal government currently spend the least?,We hear a lot of talk these days about liberals and conservatives.  Here is a seven-point scale on which the political views that people might hold are arranged from extremely liberal to extremely conservative.  Where would you place yourself on this scale?,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, or as an Independent?",Would you call yourself a strong Republican or a not very strong Republican?,Would you call yourself a strong Democrat or a not very strong Democrat?,Do you think of yourself as closer to the Republican or Democratic party?,How important is being a Democrat to you?,How important is being a Republican to you?,How important is being an Independent is to you?,How well does the term Democrat describe you?,How well does the term Republican describe you?,How well does the term Independent describe you?,"When talking about Democrats, how often do you use ""we"" instead of “they”?","When talking about Republicans, how often do you use “we"" instead of “they”?","When talking about Independents, how often do you use “we"" instead of “they”?",To what extent do you think of yourself as being a Democrat?,To what extent do you think of yourself as being a Republican?,To what extent do you think of yourself as being an Independent?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID204""}","{""ImportId"":""QID221""}","{""ImportId"":""QID245_FIRST_CLICK""}","{""ImportId"":""QID245_LAST_CLICK""}","{""ImportId"":""QID245_PAGE_SUBMIT""}","{""ImportId"":""QID245_CLICK_COUNT""}","{""ImportId"":""QID246_FIRST_CLICK""}","{""ImportId"":""QID246_LAST_CLICK""}","{""ImportId"":""QID246_PAGE_SUBMIT""}","{""ImportId"":""QID246_CLICK_COUNT""}","{""ImportId"":""QID222_2_1""}","{""ImportId"":""QID222_2_2""}","{""ImportId"":""QID222_2_3""}","{""ImportId"":""QID222_3_1""}","{""ImportId"":""QID222_3_2""}","{""ImportId"":""QID222_3_3""}","{""ImportId"":""QID222_4_1""}","{""ImportId"":""QID222_4_2""}","{""ImportId"":""QID222_4_3""}","{""ImportId"":""QID222_5_1""}","{""ImportId"":""QID222_5_2""}","{""ImportId"":""QID222_5_3""}","{""ImportId"":""QID222_6_1""}","{""ImportId"":""QID222_6_2""}","{""ImportId"":""QID222_6_3""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID80_2""}","{""ImportId"":""QID80_3""}","{""ImportId"":""QID163_1""}","{""ImportId"":""QID163_2""}","{""ImportId"":""QID163_3""}","{""ImportId"":""QID168_1""}","{""ImportId"":""QID168_2""}","{""ImportId"":""QID168_3""}","{""ImportId"":""QID168_4""}","{""ImportId"":""QID228_1""}","{""ImportId"":""QID228_2""}","{""ImportId"":""QID228_3""}","{""ImportId"":""QID228_4""}","{""ImportId"":""QID228_5""}","{""ImportId"":""QID229_1""}","{""ImportId"":""QID229_2""}","{""ImportId"":""QID229_3""}","{""ImportId"":""QID229_4""}","{""ImportId"":""QID229_5""}","{""ImportId"":""QID229_6""}","{""ImportId"":""QID229_7""}","{""ImportId"":""QID229_8""}","{""ImportId"":""QID229_9""}","{""ImportId"":""QID229_10""}","{""ImportId"":""QID229_11""}","{""ImportId"":""QID229_12""}","{""ImportId"":""QID229_13""}","{""ImportId"":""QID229_14""}","{""ImportId"":""QID230_1""}","{""ImportId"":""QID230_2""}","{""ImportId"":""QID230_4""}","{""ImportId"":""QID230_5""}","{""ImportId"":""QID230_6""}","{""ImportId"":""QID230_7""}","{""ImportId"":""QID230_3""}","{""ImportId"":""QID230_8""}","{""ImportId"":""QID230_9""}","{""ImportId"":""QID230_10""}","{""ImportId"":""QID230_11""}","{""ImportId"":""QID230_12""}","{""ImportId"":""QID230_13""}","{""ImportId"":""QID230_14""}","{""ImportId"":""QID169""}","{""ImportId"":""QID170_2""}","{""ImportId"":""QID170_3""}","{""ImportId"":""QID171""}","{""ImportId"":""QID233""}","{""ImportId"":""QID210_7""}","{""ImportId"":""QID210_8""}","{""ImportId"":""QID210_9""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_3_TEXT""}","{""ImportId"":""QID216""}","{""ImportId"":""QID218""}","{""ImportId"":""QID217""}","{""ImportId"":""QID215""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_6_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID242""}","{""ImportId"":""QID11""}","{""ImportId"":""QID243""}","{""ImportId"":""QID244""}","{""ImportId"":""QID24""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID224""}","{""ImportId"":""QID234""}","{""ImportId"":""QID235""}","{""ImportId"":""QID225""}","{""ImportId"":""QID236""}","{""ImportId"":""QID237""}","{""ImportId"":""QID226""}","{""ImportId"":""QID238""}","{""ImportId"":""QID239""}","{""ImportId"":""QID227""}","{""ImportId"":""QID240""}","{""ImportId"":""QID241""}"
8/7/2019 17:13,8/7/2019 17:16,0,100,143,1,EN,1,32,1,0,1.936,1.936,3.065,1,,,,,40,40,20,40,40,20,40,40,20,40,40,20,40,40,20,72,68,70,75,65,69,0,1,0,2,2,2,5,6,6,3,2,2,4,4,2,2,2,3,3,3,2,3,3,2,4,2,3,2,3,3,3,4,2,2,2,4,3,1,50,50,3,2,4,5,5,1,,1,2,5,4,5,,1,23,3,0,0,6,0,1,,,,2,,,2,,,2,,,4,
8/7/2019 17:14,8/7/2019 17:16,0,100,146,1,EN,1,25,1,0,5.491,13.16,17.723,2,,,,,20,30,50,20,30,50,20,30,50,50,50,0,20,30,50,73,68,64,72,53,54,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,2,3,2,2,2,2,2,3,2,3,2,3,3,2,3,2,1,50,50,2,2,3,6,5,1,,4,2,5,1,1,,1,24,4,1,0,2,2,,1,,1,,,1,,,1,,,1,,
8/7/2019 17:13,8/7/2019 17:16,0,100,182,1,EN,1,25,1,1,15.207,15.207,15.757,1,,,,,25,25,50,100,0,0,25,25,50,40,0,60,10,60,30,68,94,84,88,49,67,2,1,1,2,5,2,2,3,2,2,4,3,2,3,2,4,2,2,3,3,2,2,3,2,3,3,2,2,3,2,2,2,3,3,4,1,2,1,40,60,3,1,3,5,4,0,,1,1,2,3,5,,1,23,3,0,0,3,2,,0,,4,,,2,,,1,,,3,,
8/7/2019 17:14,8/7/2019 17:17,0,100,175,1,EN,1,36,1,1,0.344,14.038,14.836,7,,,,,25,25,50,50,25,25,25,25,50,25,15,60,10,60,30,65,91,71,93,93,97,2,2,2,2,3,5,3,5,3,3,3,2,2,2,3,2,3,3,3,3,4,4,3,3,3,4,3,3,3,2,2,3,2,2,4,3,2,0,100,0,1,2,5,4,4,0,,2,1,3,5,5,,1,20,4,0,0,7,0,1,,,,1,,,1,,,1,,,1,
8/7/2019 17:14,8/7/2019 17:18,0,100,238,1,EN,1,29,1,,,,,,1.277,1.277,3.148,1,20,20,60,20,30,50,20,20,60,30,30,40,40,30,30,71,15,31,32,88,88,2,0,0,2,2,3,3,3,5,3,3,2,2,3,3,3,3,3,2,3,3,2,3,3,2,3,3,2,3,3,3,2,2,2,3,3,3,1,50,50,3,3,4,3,4,1,,3,3,5,2,1,,1,24,3,0,0,5,0,0,,,,2,,,2,,,3,,,3,
8/7/2019 17:13,8/7/2019 17:18,0,100,265,1,EN,1,26,1,1,1.117,57.011,58.078,6,,,,,20,20,60,100,0,0,20,40,40,40,40,20,0,20,80,22,41,33,27,7,21,2,2,2,2,6,6,6,6,6,1,1,1,4,4,4,1,1,1,4,4,4,1,1,2,4,4,1,2,2,4,3,3,3,2,1,4,3,1,50,50,4,4,1,1,1,1,,1,1,3,1,5,,1,24,4,1,1,2,2,,1,,4,,,4,,,4,,,4,,
8/7/2019 17:13,8/7/2019 17:18,0,100,283,1,EN,1,40,1,,,,,,1.929,20.284,22.092,7,0,0,100,90,10,0,0,0,100,50,40,10,20,20,60,15,84,84,89,19,73,1,1,1,1,2,2,3,3,3,1,1,2,4,4,4,1,2,1,3,3,3,1,1,3,3,3,1,1,1,4,4,3,1,2,3,4,2,1,20,80,3,3,2,1,1,0,,3,2,3,1,2,,1,21,4,0,0,2,2,,0,,2,,,2,,,1,,,3,,
8/7/2019 17:13,8/7/2019 17:18,0,100,295,1,EN,1,32,1,,,,,,0,0,7.838,0,35,45,20,20,45,35,45,23,32,50,20,30,5,50,45,99,82,77,16,88,25,1,1,0,0,5,6,6,5,6,3,3,4,4,3,4,3,4,4,4,3,3,4,4,2,2,3,2,2,4,4,2,4,4,3,3,3,3,0,100,0,1,2,4,5,6,1,,2,2,2,2,5,,1,22,3,1,0,6,0,1,,,,4,,,4,,,3,,,4,
